# name: AS Org
# date: 201010
# program start time: 2014-07-20 02:55:23
# file creation time: 2014-07-20 02:55:24
# exe:build-as_org2info.pl
#    argument: -w /project/as2org/families.txt
#    argument: -D 201010
#    argument: /data/external/whois-database-dumps/201010/20101001.delegated-afrinic.txt.gz/data/external/whois-database-dumps/201010/20101001.delegated-apnic.txt.gz/data/external/whois-database-dumps/201010/20101001.delegated-arin.txt.gz/data/external/whois-database-dumps/201010/20101001.delegated-lacnic.txt.gz/data/external/whois-database-dumps/201010/20101001.delegated-iana.txt.gz
# format:org_id|changed|org_name|country|source
@aut-10502-LACNIC|20051212|IFX NETWORKS COLOMBIA|CO|LACNIC
@aut-10505-AFRINIC|20050221|DOCKSIDE||AFRINIC
@aut-10530-RIPE|19990316|interpacket (http://www.interpacket.net)||RIPE
@aut-10531-LACNIC|19970904|Terra Networks Brasil S.A.|BR|LACNIC
@aut-10540-AFRINIC|20050221|INFODOOR||AFRINIC
@aut-10560-LACNIC|20100516|Instituto Tecnológico y de Estudios Superiores de Monterrey|MX|LACNIC
@aut-10569-LACNIC|20021009|Red CENIAInternet|CU|LACNIC
@aut-10586-LACNIC|20050706|OSI de Guatemala|GT|LACNIC
@aut-10600-LACNIC|19970930|CD-Graf Publicacoes Eletronicas Ltda.|BR|LACNIC
@aut-10605-LACNIC|19971002|Service Net|AR|LACNIC
@aut-10606-LACNIC|19971006|TALNET S.A.|AR|LACNIC
@aut-10617-LACNIC|19971006|SION S.A|AR|LACNIC
@aut-10620-LACNIC|20100305|Telmex Colombia S.A.|CO|LACNIC
@aut-10624-LACNIC|19971006|Netpoint de Venezuela|VE|LACNIC
@aut-10630-LACNIC|20010207|Prover Teleinformatica Ltda|BR|LACNIC
@aut-10640-LACNIC|19971013|DATANET S.A.|AR|LACNIC
@aut-10649-LACNIC|19981222|Telecomunicacoes do Parana S.A.|BR|LACNIC
@aut-10670-LACNIC|19971021|PRODEMGE Cia. Processamento Dados MG|BR|LACNIC
@aut-10671-LACNIC|19971021|Comision Nacional de Actividades Espaciales|AR|LACNIC
@aut-10688-LACNIC|19971028|ISM Automacao Ltda.|BR|LACNIC
@aut-10691-LACNIC|20000417|ColInterNet|CO|LACNIC
@aut-10697-LACNIC|20011130|Interlink S.R.L.|AR|LACNIC
@aut-10704-LACNIC|19971031|Laboratorio Nacional de Computacao Cientifica|BR|LACNIC
@aut-10706-LACNIC|20090810|Grupo Empresarial Mexicano en Telecomunicaciones, S.A. de C.V.|MX|LACNIC
@aut-10715-LACNIC|19971104|RCT-SC - Rede Catarinense de Ciencia eTecnologia|BR|LACNIC
@aut-10733-LACNIC|19971113|Matrix Informatica|BR|LACNIC
